diagnosis_type	diagnosis_code	diagnosis_description	icd9cm	icd10cm	flags
ICD9	778.9	UNSPECIFIED CONDITION INVOLVING THE INTEGUMENT AND TEMPERATURE REGULATION OF FETUS AND NEWBORN	7789	P839	10000
ICD9	362.57	DRUSEN (DEGENERATIVE) OF RETINA	36257	H35369	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82846E	10000
ICD9	813.52	OTHER OPEN FRACTURES OF DISTAL END OF RADIUS (ALONE)	81352	S52509C	10000
ICD9	V55.4	ATTENTION TO OTHER ARTIFICIAL OPENING OF DIGESTIVE TRACT	V554	Z434	00000
ICD9	420.9	OTHER AND UNSPECIFIED ACUTE PERICARDITIS	42090	I309	10000
ICD9	989.4	TOXIC EFFECT OF OTHER PESTICIDES, NOT ELSEWHERE CLASSIFIED	9894	T6093XA	10000
ICD9	E933.4	ENZYMES, NOT ELSEWHERE CLASSIFIED, CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE	E9334	NoDx	11000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S89291D	10000
ICD9	E985.1	INJURY BY SHOTGUN, UNDETERMINED WHETHER ACCIDENTALLY OR PURPOSELY INFLICTED	E9851	Y230XXA	10000
ICD9	747.89	OTHER SPECIFIED CONGENITAL ANOMALIES OF CIRCULATORY SYSTEM	74789	Q288	10000
ICD9	626.4	IRREGULAR MENSTRUAL CYCLE	6264	N925	10000
ICD9	V57.9	CARE INVOLVING UNSPECIFIED REHABILITATION PROCEDURE	V579	Z5189	10000
ICD9	792.9	OTHER NONSPECIFIC ABNORMAL FINDINGS IN BODY SUBSTANCES	7929	R899	10000
ICD9	438.31	MONOPLEGIA OF UPPER LIMB AFFECTING DOMINANT SIDE AS LATE EFFECT OF CEREBROVASCULAR DISEASE	43831	I69932	10000
ICD9	969.9	POISONING BY UNSPECIFIED PSYCHOTROPIC AGENT	9699	T4392XA	10000
ICD9	740	ANENCEPHALUS AND SIMILAR ANOMALIES	7400	Q000	00000
ICD9	016.30	TUBERCULOSIS OF OTHER URINARY ORGANS, UNSPECIFIED EXAMINATION	01630	A1813	10000
ICD9	812.31	FRACTURE OF SHAFT OF HUMERUS, OPEN	81231	S42399B	10000
ICD9	E000.9	Unspecified External Cause Status	E0009	Y999	00000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82812D	10000
ICD9	440.24	ATHEROSCLEROSIS OF NATIVE ARTERIES OF THE EXTREMITIES WITH GANGRENE	44024	I70269	10000
ICD9	998.11	HEMORRHAGE COMPLICATING A PROCEDURE	99811	I97618	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S8254XD	10000
ICD9	658.0	OLIGOHYDRAMNIOS	65800	O4100X0	10000
ICD9	410.72	ACUTE MYOCARDIAL INFARCTION, SUBENDOCARDIAL INFARCTION, SUBSEQUENT EPISODE OF CARE	41072	I214	10000
ICD9	V15.51	Personal history of traumatic fracture	V1551	Z8781	00000
ICD9	V54.17	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF VERTEBRAE	V5417	S32032D	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62335D	10000
ICD9	366.01	Anterior Subcapsular Polar Cataract	36601	H26049	10000
ICD9	195	MALIGNANT NEOPLASM OF OTHER AND ILL-DEFINED SITES	1950	C760	00000
ICD9	246.2	CYST OF THYROID	2462	E041	10000
ICD9	916.2	BLISTER OF HIP, THIGH, LEG, AND ANKLE, WITHOUT MENTION OF INFECTION	9162	S90529A	10000
ICD9	972.0	POISONING BY CARDIAC RHYTHM REGULATORS	9720	T462X1A	10000
ICD9	823.0	FRACTURE OF UPPER END OF TIBIA AND FIBULA, CLOSED	82300	S82109A	10000
ICD9	200.38	Marginal zone lymphoma involving lymph nodes of multiple sites	20038	C8388	10000
ICD9	E983.9	STRANGULATION OR SUFFOCATION BY UNSPECIFIED MEANS, UNDETERMINED WHETHER ACCIDENTALLY OR PURPOSELY INFLICTED	E9839	NoDx	11000
ICD9	E959	LATE EFFECTS OF SELF-INFLICTED INJURY	E959	X749XXS	10000
ICD9	264.5	VITAMIN A DEFICIENCY WITH NIGHT BLINDNESS	2645	E505	00000
ICD9	531.11	ACUTE GASTRIC ULCER WITH PERFORATION, WITH OBSTRUCTION	53111	K56699	10112
ICD9	V87.32	Contact with and (Suspected) Exposure to Algae Bloom	V8732	Z77121	10000
ICD9	003.20	LOCALIZED SALMONELLA INFECTION, UNSPECIFIED	00320	A0220	00000
ICD9	V53.31	FITTING AND ADJUSTMENT OF CARDIAC PACEMAKER	V5331	Z45018	10000
ICD9	558.2	TOXIC GASTROENTERITIS AND COLITIS	5582	K521	00000
ICD9	532.1	ACUTE DUODENAL ULCER WITH PERFORATION	53210	K261	10000
ICD9	366.52	OTHER AFTER-CATARACT, NOT OBSCURING VISION	36652	H26499	10000
ICD9	945.40	DEEP NECROSIS OF UNDERLYING TISSUES DUE TO BURN [DEEP THIRD DEGREE] OF UNSPECIFIED SITE OF LOWER LIMB [LEG], WITHOUT MENTION OF LOSS OF A BODY PART	94540	T24709A	10000
ICD9	966.3	POISONING BY OTHER AND UNSPECIFIED ANTICONVULSANTS	9663	T425X1A	10000
ICD9	981	TOXIC EFFECT OF PETROLEUM PRODUCTS	981	T520X4A	10000
ICD9	115.05	HISTOPLASMA CAPSULATUM PNEUMONIA	11505	B392	10000
ICD9	202.75	Peripheral T cell lymphoma involving lymph nodes of inguinal region and lower limb	20275	C8445	10000
ICD9	365.11	PRIMARY OPEN ANGLE GLAUCOMA	36511	H401114	10000
ICD9	V54.17	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF VERTEBRAE	V5417	S12601D	10000
ICD9	873.61	OPEN WOUND OF BUCCAL MUCOSA, UNCOMPLICATED	87361	S01512A	10000
ICD9	727.01	SYNOVITIS AND TENOSYNOVITIS IN DISEASES CLASSIFIED ELSEWHERE	72701	M6580	10000
ICD9	733.13	PATHOLOGIC FRACTURE OF VERTEBRAE	73313	M8448XA	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82399D	10000
ICD9	622.0	EROSION AND ECTROPION OF CERVIX	6220	N86	00000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S72453E	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62651D	10000
ICD9	448.1	NEVUS, NON-NEOPLASTIC	4481	I781	00000
ICD9	E812.3	OTHER MOTOR VEHICLE TRAFFIC ACCIDENT INVOLVING COLLISION WITH MOTOR VEHICLE INJURING PASSENGER ON MOTORCYCLE	E8123	V2959XA	10000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S79109D	10000
ICD9	742.3	CONGENITAL HYDROCEPHALUS	7423	Q038	10000
ICD9	256.4	POLYCYSTIC OVARIES	2564	E282	00000
ICD9	378.71	DUANE'S SYNDROME	37871	H50811	10000
ICD9	740.1	CRANIORACHISCHISIS	7401	Q001	00000
ICD9	969.73	Poisoning by Methylphenidate	96973	T43633A	10000
ICD9	752.47	Longitudinal Vaginal Septum	75247	Q52123	10000
ICD9	801.75	OPEN FRACTURE OF BASE OF SKULL WITH SUBARACHNOID, SUBDURAL, AND EXTRADURAL HEMORRHAGE, WITH PROLONGED [MORE THAN 24 HOURS] LOSS OF CONSCIOUSNESS, WITHOUT RETURN TO PRE-EXISTING CONSCIOUS LEVEL	80175	S065X6A	10112
ICD9	E881.1	ACCIDENTAL FALL FROM SCAFFOLDING	E8811	W12XXXA	10000
ICD9	969.7	POISONING BY PSYCHOSTIMULANTS	96970	T43604A	10000
ICD9	V54.17	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF VERTEBRAE	V5417	S32009D	10000
ICD9	924.3	CONTUSION OF TOE	9243	S90229A	10000
ICD9	V71.4	OBSERVATION FOLLOWING OTHER ACCIDENT	V714	Z043	10000
ICD9	845.13	INTERPHALANGEAL (JOINT), TOE SPRAIN	84513	S93519A	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82829D	10000
ICD9	764.04	'LIGHT-FOR-DATES' WITHOUT MENTION OF FETAL MALNUTRITION, 1,000- 1,249 GRAMS	76404	P0504	10000
ICD9	974.4	POISONING BY OTHER DIURETICS	9744	T502X3A	10000
ICD9	145.2	MALIGNANT NEOPLASM OF HARD PALATE	1452	C050	00000
ICD9	806.5	OPEN FRACTURE OF LUMBAR SPINE WITH SPINAL CORD INJURY	8065	S34114A	10151
ICD9	960.4	POISONING BY TETRACYCLINE GROUP	9604	T364X4A	10000
ICD9	404.92	Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease	40492	I1311	10000
ICD9	E841.2	ACCIDENT TO POWERED AIRCRAFT, OTHER AND UNSPECIFIED, INJURING CREW OF COMMERCIAL AIRCRAFT (POWERED) IN SURFACE TO SURFACE TRANSPORT	E8412	V9533XA	10000
ICD9	134.8	OTHER SPECIFIED INFESTATIONS	1348	B888	10000
ICD9	909.2	LATE EFFECT OF RADIATION	9092	L599	10000
ICD9	969.05	Poisoning by Tricyclic Antidepressants	96905	T43013A	10000
ICD9	556.9	ULCERATIVE COLITIS, UNSPECIFIED	5569	K5931	10000
ICD9	039.9	ACTINOMYCOTIC INFECTION OF UNSPECIFIED SITE	0399	A429	10000
ICD9	295.0	SIMPLE TYPE SCHIZOPHRENIA	29500	F2089	10000
ICD9	136.8	OTHER SPECIFIED INFECTIOUS AND PARASITIC DISEASES	1368	B608	10000
ICD9	643.90	Unspecified vomiting of pregnancy, unspecified as to episode of care or not applicable	64390	O219	10000
ICD9	017.30	TUBERCULOSIS OF EYE, UNSPECIFIED EXAMINATION	01730	A1850	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S42114D	10000
ICD9	212	BENIGN NEOPLASM OF RESPIRATORY AND INTRATHORACIC ORGANS	2120	D140	00000
ICD9	801.35	CLOSED FRACTURE OF BASE OF SKULL WITH OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE, WITH PROLONGED [MORE THAN 24 HOURS] LOSS OF CONSCIOUSNESS, WITHOUT RETURN TO PRE-EXISTING CONSCIOUS LEVEL	80135	S06367A	10112
ICD9	976.4	POISONING BY KERATOLYTICS, KERATOPLASTICS, OTHER HAIR TREATMENT DRUGS AND PREPARATIONS	9764	T494X2A	10000
ICD9	433.11	OCCLUSION AND STENOSIS OF CAROTID ARTERY, WITH CEREBRAL INFARCTION	43311	I63239	10000
ICD9	352.9	UNSPECIFIED DISORDER OF CRANIAL NERVES	3529	G529	10000
ICD9	733.82	NONUNION OF FRACTURE	73382	S12201K	10000
ICD9	511.8	OTHER SPECIFIED FORMS OF PLEURAL EFFUSION, EXCEPT TUBERCULOUS	51189	J942	10000
ICD9	190.3	MALIGNANT NEOPLASM OF CONJUNCTIVA	1903	C6900	10000
ICD9	821.11	FRACTURE OF SHAFT OF FEMUR, OPEN	82111	S72309C	10000
ICD9	908.2	LATE EFFECT OF INTERNAL INJURY TO OTHER INTERNAL ORGANS	9082	S3790XS	10000
ICD9	363.03	FOCAL CHOROIDITIS AND CHORIORETINITIS OF OTHER POSTERIOR POLE	36303	H30029	10000
ICD9	V04.1	NEED FOR PROPHYLACTIC VACCINATION AND INOCULATION AGAINST SMALLPOX	V041	Z23	10000
ICD9	536.41	INFECTION OF GASTROSTOMY	53641	K9422	00000
ICD9	117.9	OTHER AND UNSPECIFIED MYCOSES	1179	B49	10000
ICD9	E931.8	OTHER ANTIMYCOBACTERIAL DRUGS CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE	E9318	NoDx	11000
ICD9	996.75	OTHER COMPLICATIONS DUE TO NERVOUS SYSTEM DEVICE, IMPLANT, AND GRAFT	99675	T85830A	10000
ICD9	801.21	CLOSED FRACTURE OF BASE OF SKULL WITH SUBARACHNOID, SUBDURAL, AND EXTRADURAL HEMORRHAGE, WITH NO LOSS OF CONSCIOUSNESS	80121	S02109A	10111
ICD9	367.21	REGULAR ASTIGMATISM	36721	H52229	10000
ICD9	945.35	FULL-THICKNESS SKIN LOSS DUE TO BURN [THIRD DEGREE NOS] OF KNEE	94535	T24329A	10000
ICD9	277.89	Other specified disorders of metabolism	27789	C966	10000
ICD9	753.8	OTHER SPECIFIED CONGENITAL ANOMALIES OF BLADDER AND URETHRA	7538	Q6475	10000
ICD9	041.5	HEMOPHILUS INFLUENZAE [H. INFLUENZAE] INFECTION IN CONDITIONS CLASSIFIED ELSEWHERE AND OF UNSPECIFIED SITE	0415	B963	10000
ICD9	V85.34	Body Mass Index 34.0-34.9, adult	V8534	Z6834	00000
ICD9	704.1	HIRSUTISM	7041	L683	10000
ICD9	V19.7	FAMILY HISTORY OF CONSANGUINITY	V197	Z843	00000
ICD9	395.9	OTHER AND UNSPECIFIED RHEUMATIC AORTIC DISEASES	3959	I068	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S49191D	10000
ICD9	305.33	HALLUCINOGEN ABUSE, IN REMISSION	30533	F1611	00000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S72361D	10000
ICD9	569.79	Other Complications of Intestinal Pouch	56979	K91858	00000
ICD9	823.22	CLOSED FRACTURE OF SHAFT OF FIBULA WITH TIBIA	82322	S82202A	10121
ICD9	597.89	OTHER URETHRITIS	59789	N342	10000
ICD9	985.8	TOXIC EFFECT OF OTHER SPECIFIED METALS	9858	T566X2A	10000
ICD9	945	BURN OF LOWER LIMB(S)	94500	T24409A	10000
ICD9	327.39	Other circadian rhythm sleep disorder	32739	G4729	00000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S79132D	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S8262XD	10000
ICD9	718.56	ANKYLOSIS OF LOWER LEG JOINT	71856	M24669	10000
ICD9	806.23	CLOSED FRACTURE OF T(1)-T(6) LEVEL WITH CENTRAL CORD SYNDROME	80623	S22059A	10122
ICD9	998.12	HEMATOMA COMPLICATING A PROCEDURE	99812	G9731	10000
ICD9	114.5	PULMONARY COCCIDIOIDOMYCOSIS, UNSPECIFIED	1145	B382	00000
ICD9	964.2	POISONING BY ANTICOAGULANTS	9642	T45523A	10000
ICD9	716.98	ARTHROPATHY UNSPECIFIED, INVOLVING OTHER UNSPECIFIED SITES	71698	M129	10000
ICD9	E945.8	OTHER AND UNSPECIFIED RESPIRATORY DRUGS CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE	E9458	NoDx	11000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82016D	10000
ICD9	963.1	POISONING BY ANTINEOPLASTIC AND IMMUNOSUPPRESSIVE DRUGS	9631	T451X1A	10000
ICD9	976.1	POISONING BY ANTIPRURITICS	9761	T491X2A	10000
ICD9	V76.89	Screening for Other Malignant Neoplasms	V7689	Z1289	10000
ICD9	692.2	CONTACT DERMATITIS AND OTHER ECZEMA DUE TO SOLVENTS	6922	L242	00000
ICD9	694.5	PEMPHIGOID	6945	L128	10000
ICD9	415.12	Septic pulmonary embolism	41512	I2690	10000
ICD9	760.5	MATERNAL INJURY AFFECTING FETUS OR NEWBORN	7605	P005	00000
ICD9	756	OTHER CONGENITAL MUSCULOSKELETAL ANOMALIES	7560	Q752	10000
ICD9	711.04	PYOGENIC ARTHRITIS INVOLVING HAND	71104	M00249	10000
ICD9	304.51	HALLUCINOGEN DEPENDENCE, CONTINUOUS USE	30451	F1620	10000
ICD9	283.2	HEMOGLOBINURIA DUE TO HEMOLYSIS FROM EXTERNAL CAUSES	2832	D598	10000
ICD9	733.15	PATHOLOGIC FRACTURE OF OTHER SPECIFIED PART OF FEMUR	73315	M84453A	10000
ICD9	E957.0	SUICIDE AND SELF-INFLICTED INJURIES BY JUMPING FROM RESIDENTIAL PREMISES	E9570	X80XXXA	10111
ICD9	711.26	ARTHROPATHY IN BEHCET'S SYNDROME INVOLVING LOWER LEG	71126	M352	10000
ICD9	752.64	MICROPENIS	75264	Q5562	00000
ICD9	595.0	ACUTE CYSTITIS	5950	N3000	10000
ICD9	620.2	OTHER AND UNSPECIFIED OVARIAN CYST	6202	N83291	10000
ICD9	210.1	BENIGN NEOPLASM OF TONGUE	2101	D101	00000
ICD9	201.7	HODGKIN'S DISEASE, LYMPHOCYTIC DEPLETION	20170	C8139	10000
ICD9	737.0	ADOLESCENT POSTURAL KYPHOSIS	7370	M4000	10000
ICD9	222.8	BENIGN NEOPLASM OF OTHER SPECIFIED SITES OF MALE GENITAL ORGANS	2228	D298	00000
ICD9	518.3	PULMONARY EOSINOPHILIA	5183	J82	00000
ICD9	250.5	DIABETES WITH OPHTHALMIC MANIFESTATIONS	25050	E1139	10000
ICD9	202.07	NODULAR LYMPHOMA INVOLVING SPLEEN	20207	C8297	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S82423D	10000
ICD9	E879.8	OTHER SPECIFIED PROCEDURES AS THE CAUSE OF ABNORMAL REACTION OF PATIENT, OR OF LATER COMPLICATION, WITHOUT MENTION OF MISADVENTURE AT TIME OF PROCEDURE	E8798	Y848	10000
ICD9	667.02	Retained placenta without hemorrhage, delivered, with mention of postpartum complication	66702	O43231	10000
ICD9	557.0	ACUTE VASCULAR INSUFFICIENCY OF INTESTINE	5570	K55062	10000
ICD9	804.34	CLOSED FRACTURES INVOLVING SKULL OR FACE WITH OTHER BONES, WITH OTHER AND UNSPECIFIED INTRACRANIAL HEMORRHAGE, WITH PROLONGED [MORE THAN 24 HOURS] LOSS OF CONSCIOUSNESS AND RETURN TO PRE-EXISTING CONSCIOUS LEVEL	80434	S06365A	10112
ICD9	806.21	CLOSED FRACTURE OF T(1)-T(6) LEVEL WITH COMPLETE LESION OF CORD	80621	S22059A	10122
ICD9	733.09	OTHER OSTEOPOROSIS	73309	M818	10000
ICD9	610.2	FIBROADENOSIS OF BREAST	6102	N6029	10000
ICD9	V60.2	INADEQUATE MATERIAL RESOURCES	V602	Z595	10000
ICD9	852.35	SUBDURAL HEMORRHAGE FOLLOWING INJURY, WITH OPEN INTRACRANIAL WOUND, WITH PROLONGED [MORE THAN 24 HOURS] LOSS OF CONSCIOUSNESS, WITHOUT RETURN TO PRE-EXISTING CONSCIOUS LEVEL	85235	S065X7A	10111
ICD9	968.9	POISONING BY OTHER AND UNSPECIFIED LOCAL ANESTHETICS	9689	T413X2A	10000
ICD9	459.39	CHRONIC VENOUS HYPERTENSION WITH OTHER COMPLICATION	45939	I87399	10000
ICD9	789.59	Other ascites	78959	R188	00000
ICD9	690.12	SEBORRHEIC INFANTILE DERMATITIS	69012	L2083	10000
ICD9	374.81	HEMORRHAGE OF EYELID	37481	H0289	10000
ICD9	184.9	MALIGNANT NEOPLASM OF FEMALE GENITAL ORGAN, SITE UNSPECIFIED	1849	C579	00000
ICD9	V54.17	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF VERTEBRAE	V5417	S12430D	10000
ICD9	758.33	Other microdeletions	75833	Q9388	00000
ICD9	969.1	POISONING BY PHENOTHIAZINE-BASED TRANQUILIZERS	9691	T433X2A	10000
ICD9	451	PHLEBITIS AND THROMBOPHLEBITIS	4510	I8000	10000
ICD9	954.8	INJURY TO OTHER SPECIFIED NERVE(S) OF TRUNK, EXCLUDING SHOULDER AND PELVIC GIRDLES	9548	S346XXA	10000
ICD9	148	MALIGNANT NEOPLASM OF HYPOPHARYNX	1480	C130	00000
ICD9	741.01	Spina Bifida with Hydrocephalus, Cervical Region	74101	Q050	00000
ICD9	733.44	ASEPTIC NECROSIS OF TALUS	73344	M87076	10000
ICD9	656.71	Other placental conditions affecting management of mother, delivered, with or without mention of antepartum condition	65671	O43102	10000
ICD9	V85.38	Body Mass Index 38.0-38.9, adult	V8538	Z6838	00000
ICD9	799.9	OTHER UNKNOWN AND UNSPECIFIED CAUSE OF MORBIDITY OR MORTALITY	7999	R69	10000
ICD9	472	CHRONIC PHARYNGITIS AND NASOPHARYNGITIS	4720	J310	00000
ICD9	560.2	VOLVULUS	5602	K562	00000
ICD9	V54.13	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF HIP	V5413	S32436D	10000
ICD9	745.4	VENTRICULAR SEPTAL DEFECT	7454	Q210	10000
ICD9	363.40	CHOROIDAL DEGENERATION, UNSPECIFIED	36340	H31109	10000
ICD9	259.9	UNSPECIFIED ENDOCRINE DISORDER	2599	E349	10000
ICD9	806.4	CLOSED FRACTURE OF LUMBAR SPINE WITH SPINAL CORD INJURY	8064	S34129A	10111
ICD9	345.80	Other forms of epilepsy and recurrent seizures, without mention of intractable epilepsy	34580	G40501	10000
ICD9	V54.16	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER LEG	V5416	S89299D	10000
ICD9	493.01	EXTRINSIC ASTHMA WITH STATUS ASTHMATICUS	49301	J4522	10000
ICD9	996.64	INFECTION AND INFLAMMATORY REACTION DUE TO INDWELLING URINARY CATHETER	99664	T83511A	10000
ICD9	E929.5	LATE EFFECTS OF ACCIDENT DUE TO NATURAL AND ENVIRONMENTAL FACTORS	E9295	W99XXXS	10000
ICD9	905.0	LATE EFFECT OF FRACTURE OF SKULL AND FACE BONES	9050	S020XXS	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S42293D	10000
ICD9	521.13	Excessive dental attrition, extending into pulp	52113	K030	10000
ICD9	998.1	HEMORRHAGE OR HEMATOMA COMPLICATING A PROCEDURE	99811	H59111	10000
ICD9	770	OTHER RESPIRATORY CONDITIONS OF FETUS AND NEWBORN	7700	P239	10000
ICD9	E922.8	ACCIDENT CAUSED BY OTHER SPECIFIED FIREARM MISSILE	E9228	W34018A	10000
ICD9	887.1	TRAUMATIC AMPUTATION OF ARM AND HAND (COMPLETE) (PARTIAL), UNILATERAL, BELOW ELBOW, COMPLICATED	8871	S58919A	10000
ICD9	722.6	DEGENERATION OF INTERVERTEBRAL DISC, SITE UNSPECIFIED	7226	M5137	10000
ICD9	V54.12	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF LOWER ARM	V5412	S62502D	10000
ICD9	524.03	MAXILLARY HYPOPLASIA	52403	M2602	00000
ICD9	948.52	BURN [ANY DEGREE] INVOLVING 50-59 PERCENT OF BODY SURFACE WITH THIRD DEGREE BURN OF 20-29%	94852	T3152	10000
ICD9	233.7	CARCINOMA IN SITU OF BLADDER	2337	D090	00000
ICD9	300.89	Other somatoform disorders	30089	F488	10000
ICD9	348.81	Temporal Sclerosis	34881	G9381	00000
ICD9	647.90	Unspecified infection or infestation complicating pregnancy, childbirth, or the puerperium, unspecified as to episode of care or not applicable	64790	O98919	10000
ICD9	669.41	Other complications of obstetrical surgery and procedures, delivered, with or without mention of antepartum condition	66941	O754	10000
ICD9	762.1	OTHER FORMS OF PLACENTAL SEPARATION AND HEMORRHAGE AFFECTING FETUS OR NEWBORN	7621	P021	00000
ICD9	302.50	TRANS-SEXUALISM WITH UNSPECIFIED SEXUAL HISTORY	30250	F640	10000
ICD9	381.00	ACUTE NONSUPPURATIVE OTITIS MEDIA, UNSPECIFIED	38100	H65199	10000
ICD9	V54.89	OTHER ORTHOPEDIC AFTERCARE	V5489	Z4789	10000
ICD9	788.41	URINARY FREQUENCY	78841	R350	00000
ICD9	211.2	BENIGN NEOPLASM OF DUODENUM, JEJUNUM, AND ILEUM	2112	D1330	10000
ICD9	E997.2	INJURY DUE TO WAR OPERATIONS BY GASES, FUMES, AND CHEMICALS	E9972	Y367X0A	10000
ICD9	011.61	TUBERCULOUS PNEUMONIA [ANY FORM], BACTERIOLOGICAL OR HISTOLOGICAL EXAMINATION NOT DONE	01161	A150	10000
ICD9	E925.9	ACCIDENT CAUSED BY UNSPECIFIED ELECTRIC CURRENT	E9259	W868XXA	10000
ICD9	642.2	OTHER PRE-EXISTING HYPERTENSION COMPLICATING PREGNANCY, CHILDBIRTH, AND THE PUERPERIUM	64220	O10119	10000
ICD9	313.81	Oppositional defiant disorder of childhood or adolescence	31381	F913	00000
ICD9	360.32	OCULAR FISTULA CAUSING HYPOTONY	36032	H44429	10000
ICD9	344.8	OTHER SPECIFIED PARALYTIC SYNDROMES	34489	G8384	10000
ICD9	302.81	FETISHISM	30281	F650	00000
ICD9	715.91	OSTEOARTHROSIS, UNSPECIFIED WHETHER GENERALIZED OR LOCALIZED, INVOLVING SHOULDER REGION	71591	M1990	10000
ICD9	344.5	UNSPECIFIED MONOPLEGIA	3445	G8330	10000
ICD9	998.83	NON-HEALING SURGICAL WOUND	99883	T8189XA	10000
ICD9	771.2	OTHER CONGENITAL INFECTIONS SPECIFIC TO THE PERINATAL PERIOD	7712	P378	10000
ICD9	V54.13	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF HIP	V5413	S72036D	10000
ICD9	332	PARKINSON'S DISEASE	3320	G20	10000
ICD9	V54.11	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER ARM	V5411	S42443D	10000
ICD9	361.02	RECENT RETINAL DETACHMENT, PARTIAL, WITH MULTIPLE DEFECTS	36102	H33029	10000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S79101D	10000
ICD9	V54.15	AFTERCARE FOR HEALING TRAUMATIC FRACTURE OF UPPER LEG	V5415	S72352D	10000
ICD9	368.11	SUDDEN VISUAL LOSS	36811	H53139	10000
ICD9	896.1	TRAUMATIC AMPUTATION OF FOOT (COMPLETE) (PARTIAL), UNILATERAL, COMPLICATED	8961	S98329A	10000
ICD9	913.9	OTHER AND UNSPECIFIED SUPERFICIAL INJURY OF ELBOW, FOREARM, AND WRIST, INFECTED	9139	S50919A	10111
ICD9	658.20	Delayed delivery after spontaneous or unspecified rupture of membranes, unspecified as to episode of care or not applicable	65820	O4210	10000
ICD9	E941.1	PARASYMPATHOLYTICS [ANTICHOLINERGICS AND ANTIMUSCARINICS] AND SPASMOLYTICS CAUSING ADVERSE EFFECTS IN THERAPEUTIC USE	E9411	NoDx	11000
ICD9	365.11	PRIMARY OPEN ANGLE GLAUCOMA	36511	H401194	10000
ICD9	995.29	Unspecified adverse effect of other drug, medicinal and biological substance	99529	T470X5A	10000
ICD9	749.02	CLEFT PALATE, UNILATERAL, INCOMPLETE	74902	Q359	10000
ICD9	995.8	OTHER SPECIFIED ADVERSE EFFECTS, NOT ELSEWHERE CLASSIFIED	99580	T7691XA	10000
ICD9	656.93	Unspecified fetal and placental problem affecting management of mother, antepartum condition or complication	65693	O3693X0	10000
ICD9	195.0	MALIGNANT NEOPLASM OF HEAD, FACE, AND NECK	1950	C760	00000
ICD9	441.9	AORTIC ANEURYSM OF UNSPECIFIED SITE WITHOUT MENTION OF RUPTURE	4419	I719	10000
ICD9	087.9	RELAPSING FEVER, UNSPECIFIED	0879	A689	00000
ICD9	202.90	OTHER AND UNSPECIFIED MALIGNANT NEOPLASMS OF LYMPHOID AND HISTIOCYTIC TISSUE, UNSPECIFIED SITE, EXTRANODAL AND SOLID ORGAN SITES	20290	C969	10000
